机场三字码,机场名称,机场英文名,机场简称,城市名称
BGR,班戈国际机场,BANGOR,班戈,班戈
NAS,拿骚国际机场,NASSAU,拿骚,拿骚
SGF,布兰森地区机场,SPRINGFIELD-BRANSON ,布兰森,斯普林菲尔德
AHL,艾沙尔顿机场,AISHALTON,夏威夷,艾莎尔顿
DMM,法赫德国王国际机场,KING FAHAD,法赫德国王,达曼
CMI,维拉德大学机场,WILLARD UNIVERSITY,维拉德大学,尚佩恩
ANQ,史特优本郡机场,TRI-STATE STEUBEN CO,史特优本郡,安哥拉城
MGM,达内里机场,DANNELLY FIELD,达内里,蒙哥马利
LLW,利隆圭国际机场,LILONGWE,利隆圭,利隆圭
YQT,桑德贝机场,THUNDER BAY,桑德贝,桑德贝
CHA,拉佛尔机场,LOVELL FIELD,拉佛尔,查塔努加
TSV,汤斯维尔机场,TOWNSVILLE,汤斯维尔,汤斯维尔
FAR,赫克特尔机场,HECTOR FIELD,赫克特尔,法戈
MSU,马塞卢国际机场,MOSHOESHOE,马塞卢,马塞卢
NLT,那拉提机场,NA LA TI,那拉提,新源
MBS,特里城机场,TRI CITY,特里城,萨吉诺
BTR,瑞安机场,RYAN,瑞安,巴吞鲁日
BPT,杰弗逊郡机场,JEFFERSON COUNTY,杰弗逊郡,博蒙特
MFE,米勒国际机场,MILLER,米勒,迈克艾伦
USN,蔚山机场,ULSAN,蔚山,蔚山
KPO,普项机场,POHANG,普项,普项
LFT,拉菲特地区机场,LAFAYETTE REGIONAL,拉菲特,拉菲特
MYY,米里机场,MIRI,米里,米里
EVV,德雷斯地区机场,DRESS REGIONAL,德雷斯,埃文斯维尔
USH,伊斯拉斯马尔维纳斯,ISLAS MALVINAS,伊斯拉斯马尔维纳斯,乌斯怀亚
BME,布鲁姆机场,BROOME,布鲁姆,布鲁姆
MKY,麦凯机场,MACKAY,,麦凯
MCZ,帕尔马雷斯机场,PALMARES AIRPORT,帕尔马雷斯,马塞约
NAT,奥古斯托塞佛洛机场,AUGUSTO SEVERO AIRPO,奥古斯托塞佛洛,纳塔尔
SSA,路易斯马加尔哈斯机场,AIRPORT LUIS E. MAGA,路易斯马加尔哈斯,萨尔瓦多
YKA,坎卢普斯机场,KAMLOOPS,坎卢普斯,坎卢普斯
HRG,赫尔格达机场,HURGHADA,赫尔格达,赫尔格达
SSH,奥菲拉机场,OPHIRA,,沙姆沙伊赫湾 
EAS,圣塞瓦斯蒂安机场,SAN SEBASTIAN AIRPOR,圣塞瓦斯蒂安,圣塞瓦斯蒂安
MJV,桑雅维尔机场,SAN JAVIER AIRPORT,桑雅维尔,穆尔西亚
RHO,迪阿格拉斯机场,DIAGORAS,迪阿格拉斯,罗得岛
BTH,杭纳迪姆机场,HANG NADIM,杭纳迪姆,巴淡岛
GOI,达博里姆机场,DABOLIM,达博里姆,果阿
VNS,瓦拉纳西机场,VARANASI AIRPORT,瓦拉纳西机场,菠罗奈斯
AHO,阿尔盖罗机场,FERTILIA AIRPORT,阿尔盖罗,阿尔盖罗
PMO,蓬塔莱希机场,PUNTA RAISI,蓬塔莱希,巴勒莫
RBA,塞尔机场,SALE,塞尔,拉巴特
ZIH,伊斯塔巴/西华达内荷国际机场,EXTAPA/ZIHUATANEJO I,伊斯塔巴/西华达内荷,印坦巴
MTY,马里阿诺－埃斯科贝多,GEN MARIANO ESCOBEDO,马里阿诺－埃斯科贝多,蒙特雷
NTR,德尔诺特机场,AEROPUERTO DEL NORTE,德尔诺特,蒙特雷
TOS,特罗姆瑟/朗内斯机场,TROMSO/LANGNES,特罗姆瑟/朗内斯机场,特罗姆瑟
TUO,陶波机场,TAUPO AIRPORT,陶波机场,陶波
LPI,林雪平机场,LINKOPING,林雪平,林雪平
MMX,斯图鲁普机场,STURUP,斯图鲁普,马尔默
ONT,安大略国际机场,ONTARIO,安大略,安大略
LST,朗塞斯顿机场,LAUNCESTON,朗塞斯顿,朗塞斯顿
YXJ,圣约翰堡机场,FORT ST. JOHN,圣约翰堡,圣约翰堡
PNQ,浦那机场,LOHEGAON,浦那,浦那
HOQ,霍夫机场,HOF,霍夫,霍夫
YQR,里贾纳机场,REGINA,里贾纳,里贾纳
LNK,林肯地方机场,LINCOLN MUNICIPAL,林肯,林肯
YUY,鲁安机场,ROUYN,鲁安,鲁安
TTT,台东机场,TAITUNG AIRPORT,台东,中国台东
RMQ,清泉岗机场,CHINGCHUANKANG,清泉岗,中国台中
HZH,黎平机场,LIPING,,黎平
SOU,伊斯特雷机场,EASTLEIGH,南安普顿,南安普敦
ASB,阿什贾巴特机场,ASHGABAT,阿什贾巴特,阿什贾巴特
YYG,夏洛特敦机场,CHARLOTTETOWN,夏洛特敦,夏洛特敦
ERI,伊利国际机场,ERIE,伊利,伊利
CAK,阿克伦坎通地区机场,AKRON/CANTON REGIONA,阿克伦坎通,阿克伦/坎通
MQT,绍亚尔国际机场,SAWYER,绍亚尔,马凯特
MKG,马斯基根机场,MUSKEGON,马斯基根,马斯基根
TLH,塔拉哈西地方机场,TALLAHASSEE MUNICIPA,塔拉哈西,塔拉哈西
MTS,马特萨法国际机场,MATSAPHA,马特萨法,曼齐尼
RLK,天吉泰机场,TIANJITAI,天吉泰,巴彦淖尔
IOM,罗纳尔兹威机场,RONALDSWAY,罗纳尔兹威,马恩岛
EUG,尤金机场,EUGENE,尤金,尤金
KSD,卡尔斯塔德机场,KARLSTAD,卡尔斯塔德,卡尔斯塔德
FWA,韦恩堡地方机场巴厄,FORT WAYNE MUNICIPAL,韦恩堡地方机场巴厄,韦恩堡 
DBV,杜布罗夫尼克机场,DUBROVNIK,杜布罗夫尼克,杜布罗夫尼克
UFA,乌法机场,UFA,乌法,乌法
DOK,多内茨克机场,DONETSK,多内茨克,多内茨克 
ERF,爱尔福特机场,ERFURT,爱尔福特,爱尔福特 
SAV,希尔顿首脑机场,SAVANNAH/HILTON HEAD,希尔顿,萨凡纳 
REG,提托蒙尼提机场,TITO MENNITI,提托蒙尼提,雷焦卡拉布里亚
TXK,特克萨卡纳机场,TEXARKANA MUNICIPAL,特克萨卡纳,特克萨卡纳
OSR,俄斯特拉伐机场,MOSNOV,俄斯特拉伐,俄斯特拉伐
KGD,加里宁格勒机场,KALININGRAD,加里宁格勒,加里宁格勒
DSN,鄂尔多斯机场,ORDOS YIJINHUOLUO,,鄂尔多斯
BDQ,瓦多达拉（巴罗达）机,VADODARA,瓦多达拉机场,瓦多达拉
KUH,钏路机场,KUSHIRO,钏路,钏路
CKB,克拉克斯堡机场,BENEDUM,克拉克斯堡,克拉克斯堡
VSA,卡皮坦卡洛斯佩雷兹,CAPITAN CARLOS PEREZ,卡皮坦卡洛斯佩雷兹,比亚埃尔莫萨
MPK,木浦机场,MOKPO,木浦,木浦
HPN,维斯特切斯特郡机场,WESTCHESTER COUNTY,维斯特切斯特郡,维斯特切斯特郡
NSN,尼尔森机场,NELSON,尼尔森,尼尔森
SYM,思茅机场,PUER SIMAO,思茅,普洱
CHO,夏洛茨维尔机场,ALBEMARLE,夏洛茨维尔,夏洛茨维尔
UBJ,宇部机场,UBE,宇部,宇部
TNR,伊瓦图机场,ANTANANARIVO,塔拿那利佛,塔那那利佛
PLB,克林顿郡机场,CLINTON COUNTY,克林顿郡,普拉茨堡
ATW,奥塔加米郡机场,OUTAGAMIE COUNTY,奥塔加米郡,阿普尔顿
BTS,伊万卡机场,IVANKA,,布拉迪斯拉发
KMJ,熊本机场,KUMAMOTO,熊本机场,熊本
BKO,巴马科机场,BAMAKO,巴马科,巴马科
PIA,格雷特尔皮奥里斯,GREATER PEORIA,格雷特尔皮奥里斯,皮奥里亚
MWX,务安机场,KWJ,雾安机场,务安
BDA,百慕大机场,BERMUDA,百慕大,百慕大
BZG,比得哥什机场,BYDGOSZCZ,比得哥什,比得哥什
RSU,丽水机场,YEOSU,丽水,丽水(韩国)
BZN,加拉丁机场,GALLATIN FIELD,加拉丁,博兹曼
BFL,梅道斯机场,MEADOWS FIELD,梅道斯,贝克斯菲尔德
EGE,伊格尔郡机场,EAGLE COUNTY,伊格尔郡,韦尔
MPH,马雷机场,MALAY,马雷,卡提克兰
KLR,卡尔马机场,KALMAR,卡尔马,卡尔马
ABX,奥尔伯里机场,ALBURY AIRPORT,奥尔伯里,奥尔伯里
LAP,莱昂机场,LEON AIRPORT ,莱昂,拉巴斯
PSR,里贝里机场,LIBERI AIRPORT,里贝里机场,佩斯卡拉
RIX,里加机场,RIGA,里加,里加
MDL,安尼萨顿机场 ,ANNISATON,满各里,曼德勒
NOU,通托塔机场,TONTOUTA AIRPORT,通托塔,努美阿
PPS,巴拉望机场,PUERTO PRINCESA,巴拉望,巴拉望
SJU,路易斯姆诺兹马灵机场,LUIS MUNOZ MARIN,路易斯姆诺兹马灵,圣胡安
SEZ,塞舌尔国际机场,SEYCHELLES,塞舌尔国际,马埃岛
PLZ,伊丽莎白港机场,PORT ELIZABETH,伊丽莎白港,伊丽莎白港
YXU,大都会地区机场,METROPOLITAN AREA,大都会,伦敦(加拿大)
KGT,康定机场,KANGDING,,康定
OLB,戈斯塔斯梅拉尔达机,COSTA SMERALDA,戈斯塔斯梅拉尔达,奥尔比亚 
OSS,奥什机场,OSH,奥什,奥什
NPL,新普利茅茨机场,NEW PLYMOUTH,新普利茅茨,新普利茅茨
OER,恩舍尔兹维克机场,ORNSKOLDSVIK,恩舍尔兹维克,恩舍尔兹维克
MLU,门罗地方机场,MONROE MUNICIPAL,门罗,门罗
ASE,阿斯彭机场,ASPEN,阿斯彭,阿斯彭
AZO,巴特尔克里克国际机场,BATTLE CREEK,巴特尔克里克,卡拉马祖
CJB,佩拉梅杜机场,PEELAMEDU,佩拉梅杜,哥印拜陀
DYU,杜尚别机场 ,DUSHANBE,,杜尚别
YQG,温莎机场,WINDSOR,温莎,温莎
LAN,首都城机场,CAPITAL CITY,首都城,兰辛
GAY,伽耶机场,GAYA,伽耶,伽耶
AER,阿德列尔索奇机场,ADLER/SOCHI,阿德列尔索奇,阿德列尔
DRO,拉普拉塔机场,LA PLATA,拉普拉塔,杜兰戈
ARM,阿米代尔机场,ARMIDALE AIRPORT ,阿米代尔,阿米代尔
MLB,墨尔本国际机场,MELBOURNE,墨尔本国际,墨尔本
BTV,伯灵顿国际机场,BURLINGTON,,伯灵顿
PWM,波特兰国际喷气机机场,PORTLAND  JETPORT,波特兰,波特兰
TOL,伊克斯普雷斯机场,EXPRESS,伊克斯普雷斯,托莱多
BJM,布琼布拉国际机场,BUJUMBURA INTERNATIO,布琼布拉国际机场,布琼布拉
SSG,圣伊莎贝尔机场,SANTA ISABEL,圣伊莎贝尔,马拉博
YGK,金斯顿机场,KINGSTON,金斯顿,金斯顿
CHS,查尔斯顿国际机场,CHARLESTON,查尔斯顿国际,查尔斯顿
EBL,埃尔比勒国际机场,ERBIL INTERNATIONAL ,埃尔比勒国际,埃尔比勒
MHD,马沙德机场,MASHAD AIRPORT,马沙德,马什哈德
AKX,阿克纠宾斯克机场,AKTYUBINSK,阿克纠宾斯克,阿克纠宾斯克
CEK,车里雅宾斯克机场 ,CHELYABINSK,,车里雅宾斯克
URA,乌拉尔斯克机场,URALSK,乌拉尔斯克,乌拉尔斯克
SVX,叶卡捷琳堡机场,EKATERINBURG,,叶卡捷琳堡
LFW,洛美机场,LOME,洛美,洛美
NSI,希马伦机场,NSIMALEN,希马伦,雅温得
YAO,雅温得机场,YAOUNDE,雅温得,雅温得
ELS,东伦敦机场,EAST LONDON,东伦敦,东伦敦
FNA,伦吉国际机场,LUNGI,,费里敦
JRO,乞力马扎罗山机场,KILIMANJARO AIRPORT,乞力马扎罗山机场,乞力马
ZNZ,桑给巴尔机场,KISAUNI,桑给巴尔,桑给巴尔
NDJ,恩贾梅拉机场,NDJAMENA,,恩甲美那
KJA,叶米里亚诺瓦机场,YEMELYANOVO,叶米里亚诺瓦,克拉斯诺雅尔斯克
YKS,亚库茨克机场  ,YAKUTSK AIRPORT   ,亚库茨克 ,亚库茨克
VOG,伏尔加格勒机场,VOLGOGRAD AIRPORT,伏尔加格勒,伏尔加格勒
ASF,阿斯特拉罕机场,ASTRAKHAN AIRPORT,阿斯特拉罕,阿斯特拉罕
DHN,多森机场,DOTHAN,多森,多森
FAI,费尔班克斯国际机场,FAIRBANKS,费尔班克斯,费尔班克斯
CIC,奇科机场 ,CHICO,奇科,奇科
YQM,大都会地区,METROPOLITAN AREA,大都会,蒙克顿
JAN,杰克逊国际机场,JACKSON,杰克逊,杰克逊
DAB,代托纳比奇地区机场,DAYTONA BEACH REGION,代托纳比奇,代托纳比奇
CWA,中威斯康星机场,CENTRAL WISCONSIN,中威斯康星,沃索
YCD,纳奈莫机场,NANAIMO AIRPORT,纳奈莫机场,纳奈莫
ALO,滑铁卢机场,WATERLOO AIRPORT,滑铁卢,滑铁卢
GRJ,乔治城机场,GEORGE,乔治城,乔治城
RNB,卡林格机场,KALLINGE,卡林格,隆内比
ACY,大西洋城国际机场 ,ATLANTIC CITY,,大西洋城
AKJ,旭川国际机场,ASAHIKAWA,旭川,旭川
ALP,内拉博机场,NEJRAB,,阿勒颇
AXA,瓦尔布雷克机场,WALLBLAKE,瓦尔布雷克,瓦拉瓦
AMA,阿马里洛国际机场,AMARILLO INTERNATION,阿马里洛国际机场,阿马里洛
ANF,塞罗莫雷诺机场  ,CERRO MORENO AIRPORT,塞罗莫雷诺,安托法加斯塔
ANU,VC伯德国际机场,V.C. BIRD INTERNATIO,VC伯德国际VC伯德国际机场,安提瓜
AOJ,青森机场,AOMORI AIRPORT,青森,青森
AOO,阿尔托纳机场,ALTOONA AIRPORT,阿尔托纳,阿尔托纳
APL,卢姆波机场,NAMPULA AIRPORT,卢姆波,楠普拉
APW,法勒奥罗机场,FALEOLO,,阿皮亚
ATY,沃特敦机场 ,WATERTOWN,沃特敦,沃特敦
ATQ,拉贾桑西机场,RAJA SANSI AIRPORT,拉贾桑西,阿姆利则
AVL,阿什维尔地区机场,ASHEVILLE REGIONAL,阿什维尔,阿什维尔
AVP,威尔克斯巴里国际机场,WILKES-BARRE INTERNA,威尔克斯巴里国际机场,威尔克斯－巴里
AYQ,康内尔兰机场,CONNELLAN,康内尔兰,艾尔斯岩
BAQ,考提索茨机场,E CORTISSOZ AIRPORT ,考提索茨,巴兰基亚
BBI,布巴内斯瓦尔机场,BHUBANESWAR AIRPORT,布巴内斯瓦尔,布巴内斯瓦尔
BCD,锡莱机场,BACOLOD,巴科洛德,巴科洛德
BDJ,斯贾姆苏丁 挽诺尔机场,SJAMSUDIN NOOR AIRPO,斯贾姆苏丁挽诺尔,班贾尔马辛
BDS,帕珀拉卡塞尔机场,PAPOLA CASALE,帕珀拉卡塞尔,布林迪西
BEW,贝拉机场,BEIRA AIRPORT,贝拉机场,贝拉
BFN,布隆方丹国际机场,BLOEMFONTEIN INTERNA,布隆方丹国际机场,布隆方舟
BGF,班吉机场,BANGUI,班吉,班吉
BGI,格兰特雷－亚当斯国际,GRANTLEY ADAMS,格兰特雷－亚当斯国际,布里奇敦
BGM,宾厄姆顿机场,BINGHAMTON,,宾厄姆顿
BHJ,鲁德拉马塔机场,RUDRA MATA,鲁德拉马塔,普杰
BHO,博帕尔机场,BHOPAL AIRPORT,博帕尔,博帕尔
CNF,坦克雷多挽内弗斯,TANCREDO NEVES,坦克雷多挽内弗斯,贝洛奥里藏特
BIS,俾斯麦机场,BISMARCK AIRPORT,俾斯麦,俾斯麦
BJL,云德姆国际机场,YUNDUM,,班珠尔
BJX,德尔巴乔机场,DEL BAJIO,,莱昂
BLZ,布兰太尔机场,CHILEKA AIRPORT,布兰太尔,布兰太尔
BMV,蓬杜克机场,PHUNG-DUC AIRPORT,蓬杜克机场,BANMETHOUT
BOO,博多机场,BODO AIRPORT,博多,博多
BQN,博林奎恩机场,BORINQUEN AIRPORT,博林奎恩机场,阿瓜迪亚
BRO,南帕德雷岛国际机场,SOUTH PADRE ISLAND,,布朗斯维尔
BSR,巴士拉国际机场,BASRA INTERNATIONAL ,巴士拉,巴士拉
BUQ,布拉瓦约机场,BULAWAYO AIRPORT,布拉瓦约,布拉瓦约
BUS,巴统机场,BATUMI AIRPORT,巴统,巴统
BXU,武端机场,BUTUAN AIRPORT,武端机场,武瑞
BZE,菲利普戈尔德森国际机,PHILIP S.W. GOLDSON ,菲利普戈尔德森,伯利兹城
CAY, 罗查姆博机场,ROCHAMBEAU,罗查姆博,卡宴
CCJ,卡利库特机场,CALICUT,卡利库特,科泽科德
CEE,切列波维茨机场 ,CHEREPOVETS,,切列波维茨
CEN,奥夫雷贡城机场,CIUDAD OBREGON AIRPO,奥夫雷贡城,欧布雷贡城
CFS,科夫斯港机场,COFFS HARBOUR AIRPOR,科夫斯港机场,科夫斯港
CGY,伦比亚机场,LUMBIA,伦比亚机场,卡加延德奥罗
CJS,华雷兹城国际机场,ABRAHAM GONZALEZ INT,华雷兹城,华雷斯城
CLL,伊斯特伍德机场,EASTERWOOD FIELD,伊斯特伍德,克利奇站
CLO,阿方索挽阿拉贡机场  ,ALFONSO B. ARAGON AI,阿方索挽阿拉贡,卡利
CLQ,米盖尔德拉马德里机场,COLIMA AIRPORT ,科利马,科利马
CME,卡门城机场,CIUDAD DEL CARMEN AI,卡门城机场,卡门城
CMX,豪登郡机场,HOUGHTON COUNTY AIRP,豪登郡,汉考克
COD,黄石地区机场,YELLOWSTONE REGIONAL,黄石地区,科迪
COU,哥伦比亚地区机场,COLUMBIA REGIONAL AI,哥伦比亚地区,哥伦比亚
CPE,坎佩切国际机场,CAMPECHE INTERNATION,坎佩切,坎佩切
CRP,科珀斯克里斯蒂机场,CORPUS CHRISTI,科珀斯克里斯蒂,科珀斯克里斯蒂
SBP,郡机场,COUNTY AIRPORT,郡机场,圣路易斯-奥比斯波
CTG,拉法厄尔努内兹机场,RAFAEL NUNEZ AIRPORT,拉法厄尔努内兹,卡塔赫纳
CUL,费德尔迪挽巴奇瓜拉托机场,FEDL DE BACHIGUALATO,费德尔迪挽巴奇瓜拉托,库利阿坎
CUR,哈托机场,AEROPUERTO HATO,哈托,库拉索（加勒比）
CUU,根费罗挽维拉罗博斯机场  ,GEN FIERRO VILLALOBO,根费罗挽维拉罗博斯  ,奇瓦瓦
CWB,阿丰索佩纳机场,AFONSO PENA,,库里蒂巴
CZL,埃因埃尔贝机场,AIN EL BEY AIRPORT,埃因埃尔贝,君士坦丁
DBQ,迪比克地方机场,DUBUQUE MUNICIPAL,迪比克地方机场,迪比克
DGO,瓜达卢普挽维多利亚机场 ,GUADALUPE VICTORIA A,瓜达卢普挽维多利亚,杜兰戈
DGT,杜马格特机场,DUMAGUETE AIRPORT,杜马格特,杜马格特
DIB,查布阿机场,CHABUA,,迪布鲁格尔
DIL,科摩罗机场,COMORO,,帝力
DJB, 苏丹塔哈挽斯亚里弗德恩机场,SULTAN TAHA SYARIFUD, 苏丹塔哈挽斯亚里弗德恩,占碑
DLH,德卢斯国际机场,DULUTH,,德芦斯
DLI,连科杭机场,LIENKHANG AIRPORT,连科杭机场,大叻
DOM,麦尔维尔哈尔机场,MELVILLE HALL AIRPOR,麦尔维尔哈尔,多米尼加岛
DPO,德文波特机场 ,DEVONPORT AIRPORT ,德文波特 ,德文波特
EAM,内奇兰机场,NEJRAN ,内奇兰,内基兰
EAR,卡尼机场,KEARNEY AIRPORT,卡尼,卡尼
EAT,庞伯恩机场,PANGBORN FIELD,庞伯恩,文纳奇
EAU,欧克莱尔机场,EAU CLAIRE,欧克莱尔,欧克莱尔
ELM,埃尔迈拉地区机场,ELMIRA REGIONAL,埃尔迈拉地区机场,艾尔迈拉
MLM,莫雷利亚机场,MORELIA AIRPORT,莫雷利亚,莫雷利亚
MMB,女满别机场,MEMANBETSU,女满别,女满别
MMK,摩尔曼斯克机场,MURMANSK AIRPORT,摩尔曼斯克,摩尔曼斯科
MOB,莫比尔地方机场,MOBILE MUNICIPAL AIR,莫比尔地方,莫比尔
MOL,阿洛机场 ,ARO AIRPORT  ,阿洛机场 ,莫尔德
MQX,默克莱机场,MAKALE AIRPORT,默克莱,默克莱
MRY,蒙特雷半岛机场,MONTEREY PENINSULA A,蒙特雷半岛,蒙特雷
MSJ,三泽机场,MISAWA AIRPORT,三泽,三泽
MSL,马斯克尔肖尔斯机场,MUSCLE SHOALS,马斯克尔肖尔斯,马斯尔肖尔斯
MSO,约翰逊贝尔机场,JOHNSON BELL FIELD,约翰逊贝尔,米苏拉
MTT,米纳蒂特兰,MINATITLAN AIRPORT,米纳蒂特兰,米纳蒂特兰
MWZ,姆万扎机场,MWANZA AIRPORT,姆万扎机场,姆万扎
MXL,墨西卡利机场,MEXICALI AIRPORT,墨西卡利,墨西卡利
MYD,马林迪机场,MALINDI AIRPORT ,马林迪,马林迪
MYR,默特尔比奇空军基地,MYRTLE BEACH AIR FOR,默特尔比奇,默特尔比奇
MZG,马公机场  ,Magong Airport,马公机场  ,中国马公
MZT,拉法尔布埃尔纳将军机场,GEN RAFAEL BUELNA AI,拉法尔布埃尔纳将军,马萨特蓝
NAG,索内加昂机场,SONEGAON AIRPORT,索内加昂,那格浦尔
NCP,库比皮特海空军机场,CUBI PT NAVAL AIR ST,库比皮特海空军,吕宋岛
CRK,克拉克机场,CLARK FIELD,克拉克,吕宋岛
NLA,恩多拉机场,NDOLA,恩多拉,恩多拉
NLD,奎特扎尔克特尔国际机场,QUETZALCOATL INTERNA,奎特扎尔克特尔,新拉莱多
NPE,豪客斯贝机场,HAWKES BAY AIRPORT,豪客斯贝机场,纳皮尔-黑斯廷斯
NRK,库恩桑根机场,KUNGSANGEN AIRPORT,库恩桑根,诺尔雪平
OAJ,阿尔伯特－埃利斯机场,ALBERT J ELLIS,阿尔伯特－埃利斯,杰克逊维尔
OAX,肖肖克特兰机场,XOXOCOTLAN AIRPORT,肖肖克特兰,瓦哈卡
ORN,埃斯塞尼阿机场,ES SENIA AIRPORT,埃斯塞尼阿,奥兰
OSD,弗洛埃索厄机场,FROESOE AIRPORT,弗洛埃索厄,厄斯特松德
OUA,瓦加杜古机场,OUAGADOUGOU,,瓦加杜古
PAH,巴克雷地区机场,BARKLEY REGIONAL AIR,巴克雷地区,帕迪尤卡
PAT,巴特纳机场,PATNA AIRPORT,巴特纳机场,巴特那
PAZ,塔金机场,TAJIN AIRPORT,塔金,波萨里卡-德伊达尔戈
PBD,博尔本德尔机场,PORBANDAR AIRPORT ,博尔本德尔,波尔本德尔
ECP,西北佛罗里达海滩国际机场,NW FLORIDA BEACHES I,西北佛罗里达海滩国际,帕纳马城
PGV,皮特挽格林维尔机场   ,PITT-GREENVILLE AIRP,皮特挽格林维尔  ,格林维尔
PHE,黑德兰港机场,PORT HEDLAND AIRPORT,黑德兰港,黑德兰港
PHF,威廉姆斯堡机场,NEWPORT NEWS/WILLIAM,威廉姆斯堡机场,汉普顿
PIH,波卡特咯机场,POCATELLO AIRPORT,波卡特咯,波卡特洛
PKR,博克拉机场,POKHARA AIRPORT,博克拉机场,博克拉
PKU,希姆庞提加机场,SIMPANG TIGA,希姆庞提加,北干巴鲁
PLQ,帕兰加国际机场  ,PALANGA INTERNATIONA,帕兰加 ,克莱柏特
PMR,帕默斯顿北机场,PALMERSTON NORTH AIR,帕默斯顿北,北帕默斯顿
PNA,潘普洛拉机场,PAMPLONA AIRPORT ,潘普洛拉,潘普洛纳
PNI,波恩佩机场,POHNPEI AIRPORT,波恩佩,波纳佩
PNR,黑角机场,POINTE NOIRE AIRPORT,黑角,黑角
POA,萨尔加多－费尔霍机场,SALGADO FILHO AIRPOR,萨尔加多－费尔霍机场,阿雷格里港
POR,波里机场 ,PORI AIRPORT  ,波里,波里
POS,皮阿尔科机场,PIARCO AIRPORT,皮阿尔科,西班牙港
PPT,法阿机场,FAAA,法阿,帕皮堤
PQC,杜恩当机场,DUONG DANG,杜恩当机场,富国
PSC, 特里希提斯机场 ,TRI-CITIES,特里希提斯,帕斯科
PSE,梅塞迪塔机场,MERCEDITA AIRPORT,梅塞迪塔,蓬塞
PTP,勒莱泽特机场,LE RAIZET,,皮特尔角城
PUJ,蓬塔卡纳机场,PUNTA CANA,,蓬塔卡纳
PUW,莫斯科地区机场,MOSCOW REGIONAL,莫斯科地区,普尔曼
PVR,奥达兹,ORDAZ,奥达兹,巴亚尔塔港
PWQ,巴甫洛达尔机场,PAVLODAR AIRPORT,巴甫洛达尔机场,巴夫洛德
PXU,波来古机场,PLEIKU AIRPORT,波来古,波来古
QRO,奎雷塔罗机场,QUERETARO,,奎雷塔罗
RAJ,民航机场,CIVIL,,拉杰果德
RAP,拉皮德城地区机场,RAPID CITY REGIONAL ,拉皮德城地区,拉皮德城
RAR,拉罗汤加岛机场,RAROTONGA AIRPORT,拉罗汤加岛,拉罗汤加
RDD,雷丁机场,REDDING AIRPORT,雷丁,雷丁
RDM,罗伯茨机场,ROBERTS FIELD,罗伯茨,雷德蒙德
REX,根卢西奥－布兰科机场,GEN LUCIO BLANCO,,雷诺萨
ROK,罗克汉普顿机场,ROCKHAMPTON,罗克汉普顿,罗克汉普顿
ROR,埃莱机场,AIRAI,,科罗尔
RPR,斯瓦米维威卡南达机场,RAIPUR,赖布尔机场,赖布尔
RST,罗切斯特地方机场,ROCHESTER MUNICIPAL,,罗切斯特
RUN,吉罗特机场,GILLOT,,圣丹尼斯
RXS,罗哈斯城机场,ROXAS CITY AIRPORT,罗哈斯城,罗克塞斯城
RZE,加西翁卡机场,JASIONKA AIRPORT,加西翁卡,热舒夫
SAF,圣菲机场,SANTA FE AIRPORT,圣菲机场,圣达菲
SAL,科马拉帕国际机场,COMALAPA,科马拉帕,圣萨尔瓦多
SAP,拉蒙维勒达－莫拉尔斯,RAMON VILLEDA MORALE,拉蒙维勒达－莫拉尔斯,圣佩德罗苏拉
SCN,恩施埃姆机场,ENSHEIM AIRPORT,恩施埃姆机场,萨尔布吕肯
SDL,松兹瓦尔机场,SUNDSVALL/HARNOSAND,松兹瓦尔,松兹瓦尔
SDQ,拉斯阿美利加斯机场,LAS AMERICAS AIRPORT,拉斯阿美利加斯,圣多明戈
SGD,森讷堡机场,SONDERBORG,森讷堡,森讷堡
SHB,根室中标津机场,NAKASHIBETSU,根室中标津,中标津
SHD,谢南多阿瓦雷机场,SHENANDOAH VALLEY AI,谢南多阿瓦雷机场,斯丹顿
SJD,圣约瑟卡博机场,LOS CABOS AIRPORT,圣约瑟卡博,圣荷西
SKB,戈尔登罗克机场 ,GOLDEN ROCK AIRPORT,戈尔登罗克,圣基茨
SLL,塞拉莱机场,SALALAH AIRPORT,塞拉莱,塞拉莱
SLP,圣路易斯波托西机场,SAN LUIS POTOSI AIRP,圣路易斯波托西,圣路易斯波托西
SLW,萨尔蒂洛机场,SALTILLO AIRPORT,萨尔蒂洛,萨尔蒂洛
SMX,圣玛丽亚公共机场,SANTA MARIA PUBLIC  ,圣玛丽亚公共机场,圣马丽亚
SRQ, 不拉登顿机场   ,BRADENTON AIRPORT  , 不拉登顿,萨拉索塔
VVI,比鲁比鲁国际机场,VIRU VIRU INTERNATIO,比鲁比鲁,圣克鲁斯
STT,塞里尔金机场,CYRIL E. KING AIRPOR,塞里尔金,圣托马斯
STX,亚历山大挽汉密尔顿机场 ,ALEXANDER HAMILTON A,亚历山大挽汉密尔顿,圣克鲁斯岛
SUF,尤费米亚机场  ,S EUFEMIA AIRPORT ,尤费米亚 ,拉默齐亚
SUX,苏城门户机场,SIOUX GATEWAY,苏城门户,苏城
SVL,萨翁林纳机场,SAVONLINNA AIRPORT,萨翁林纳,萨翁林纳
SXM,朱利亚纳王子机场,PRINC. JULIANA,朱利亚纳王子,圣马滕
SYO,庄内机场,SHONAI AIRPORT,庄内机场,庄内
SYZ,设拉子机场,SHIRAZ AIRPORT,设拉子,设拉子
