机场三字码,机场名称,机场英文名,机场简称,城市名称
YYZ,帕尔森国际机场,PEARSON,帕尔森,多伦多
YTO,大都会地区 ,METROPOLITAN AREA,,多伦多
TLV,特拉维夫机场,BEN GURION,特拉维夫,特拉维夫
THQ,天水机场,GANSU TIANSHUI,,天水
TVS,三女河机场,TANGSHAN SANNUHE,,唐山
WEF,潍坊机场,WEIFANG,,潍坊
YVR,温哥华机场,VANCOUVER,温哥华,温哥华
WUH,天河国际机场,WUHAN,天河,武汉
WEH,大水泊国际机场,WEIHAI,大水泊,威海
ULN,乌兰巴托机场,BUYANT UHAA,乌兰巴托,乌兰巴托
HLH,乌兰浩特机场,ULANHOT,,乌兰浩特
VTE,万象机场,WATTAY,万象,万象
WXN,万州机场,WANZHOU,,万州
WNZ,永强国际机场,WENZHOU,永强,温州
WUZ,长洲岛机场,CHANGZHOUDAO,,梧州
XIC,青山机场,XICHANG,青山,西昌
XFN,刘集机场,XIANGFAN,,襄阳
XIL,锡林浩特机场,XILINHOT,,锡林浩特
SYD,悉尼机场,KINGSFORD SMITH,悉尼,悉尼
SEA,西雅图Tacoma国际机场,SEATTLE/TACOMA,塔科马,西雅图
XUZ,观音机场,XUZHOU,,徐州
YBP,菜坝机场,YIBIN,菜坝,宜宾
YIH,三峡机场,YICHANG,三峡,宜昌
LDS,林都机场,LINDU,,伊春
RGN,仰光机场,MINGALADON,明加拉顿,仰光
YNJ,朝阳川国际机场,YANJI,朝阳川,延吉
CGK,雅加达机场,SOEKARNO-HATTA,苏加诺哈达,雅加达
UYN,榆阳机场,YULIN,,榆林
YIN,伊宁机场,YINING,,伊宁
ISB,伊斯兰堡机场,ISLAMABAD,伊斯兰堡,伊斯兰堡
IST,伊斯坦布尔机场,ATATURK,伊斯坦布尔机场,伊斯坦布尔
YNT,蓬莱国际机场,LAISHAN,莱山,烟台
YIW,义乌机场,YIWU,,义乌
ZHA,湛江机场,ZHANJIANG,,湛江
CHI,欧侅尔机场,CHICAGO FSS,欧侅尔,芝加哥
ORD,奥黑尔国际机场,O'HARE,奥黑尔国际,芝加哥
MDW,米德威机场,MIDWAY AIRPORT,米德威,芝加哥
ZGN,中山机场,FERRY PORT,中山,中山
ZAT,昭通机场,ZHAOTONG,,昭通
ZHY,中卫机场,ZHONGWEI XIANGSHAN,,中卫
CGO,新郑国际机场,ZHENGZHOU,新郑,郑州
LYI,沭埠岭机场,LINYI,,临沂
TOY,富山机场,TOYAMA,富山,富山
BPX,昌都邦达机场,BANGDA,昌都,昌都
HIA,涟水机场,HUAI AN,涟水,淮安
HYN,路桥国际机场,TAIZHOU,路桥,台州
SDJ,仙台机场,SENDAI,仙台,仙台
FKS,福岛机场,FUKUSHIMA,福岛,福岛
TPE,桃园机场,TAIWAN TAOYUAN,桃园中正,中国台北
TSA,台北松山机场,SUNG SHAN,松山机场,台北
CNX,清迈机场,CHIANG MAI,清迈,清迈
PEN,槟城机场,PENANG,槟城,槟城
BQS,布拉格维申斯科机场,BLAGOVESCHENSK,维申斯科,布拉格维申斯科
VVO,符拉迪沃斯托克机场,VLADIVOSTOK,符拉迪沃斯托克,海参崴
THR,德黑兰机场,MEHRABAD INTL,德黑兰,德黑兰
IKA,伊玛姆科梅尼机场,IMAM KHOMEINI INTL,伊玛姆科梅尼,德黑兰
JFK,纽约肯尼迪机场,JOHN F. KENNEDY,纽约肯尼迪,纽约
EWR,Newark纽瓦克机场,NEWARK LIBERTY,纽瓦克,纽约
LGA,拉瓜迪机场,LA GUARDIA,拉瓜迪,纽约
ADD,亚的斯亚贝巴机场,BOLE,博来,亚的斯亚贝巴
BEG,贝尔格来德机场,BEOGRAD,贝尔格来德,贝尔格来德
BUD,布达佩斯机场,FERIHEGY,布达佩斯,布达佩斯
BWN,斯里巴加湾机场,BRUNEI,斯里巴加湾,斯里巴加湾市
TAS,塔什干机场,VOSTOCHNY,塔什干,塔什干
CTS,札幌机场,CHITOSE,札幌,札幌
FRU,比什凯克机场,BISHKEK,比什凯克,比什凯克
CEI,清莱机场,CHIANG RAI,清莱,清莱
BAK,巴库机场,METROPOLITAN AREA,巴库,巴库
GYD,阿里耶夫国际机场,HEYDAR ALIYEV,阿里耶夫,巴库
VIE,维也纳机场,VIENNA,斯事查特,维也纳
YZY,张掖机场,ZHANGYE AIRPORT,,张掖
LUX,卢森堡机场,LUXEMBOURG,卢森堡,卢森堡
GVA,日内瓦机场,GENEVE-COINTRIN,柯英特林,日内瓦
BTK,布拉茨克机场,BRATSK,布拉茨克,布拉茨克
HTA,赤塔机场,CHITA,赤塔,赤塔
IKT,伊尔库茨克机场,IRKUTSK,伊尔库茨克,伊尔库茨克
KUF,萨玛拉机场,SAMARA,萨玛拉,萨马拉
OTP,奥托佩尼机场,OTOPENI,奥托佩尼,布加勒斯特
LAS,拉斯维加斯机场,MCCARRAN,拉斯维加斯,拉斯维加斯
IAD,华盛顿杜勒斯机场,DULLES,杜勒斯,华盛顿
DCA,华盛顿国际机场,RONALD REAGAN NATION,华盛顿,华盛顿
AKL,奥克兰机场,AUCKLAND,奥克兰,奥克兰
CBR,堪培拉机场,CANBERRA,堪培拉,堪培拉
BNE,布里斯班,BRISBANE,布里斯本,布里斯班
PER,珀斯机场,PERTH,珀斯,珀斯
DRW,达尔文机场,DARWIN,达尔文,达尔文
CPT,开普敦机场,CAPE TOWN,默兰,开普敦
JNB,约翰内斯堡机场,JOHANNESBURG,约翰内斯堡,约翰内斯堡
FLR,佛罗伦撒机场,PERETOLA,佛罗伦撒,佛罗伦萨
VCE,马可波罗机场,MARCO POLO,马可波罗,威尼斯
HAV,哈瓦那机场,JOSE MARTI,哈瓦那,哈瓦那
